DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,grp,distance,mag,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error
34.107983,1.64e+18,Gaia DR3 139785246862634240,1.4e+17,42.79136611,0.02283245,34.10787257,0.019111466,15.52747471,0.025597462,606.6021,1.1214055,28651.75346,14.54448891,15.823958,13.429521,2.3944378,1.1149679100000007,64.4019725471509,10.499993062857499,,,,,,,,
55.58518,1.64e+18,Gaia DR3 1081041279834864896,1.08e+18,120.8167259,0.013859601,55.58487547,0.013550431,11.71045528,0.01951038,600.2166,1.3753899,85828.60872,13.35328674,14.406336,12.326233,2.080103,1.0270537399999995,85.39377642369512,8.696155639677817,,,,,,,,
45.864333,1.64e+18,Gaia DR3 377130190522459136,3.77e+17,15.30949176,0.019372186,45.86414308,0.015294631,14.03187046,0.023882115,587.54724,1.1391495,27450.57563,14.59098816,16.064045,13.404477,2.6595678,1.1865111600000002,71.26633636268618,10.326565993513878,,,,,,,,
24.979402,1.64e+18,Gaia DR3 3426697845610520064,3.43e+18,92.73192793,0.011913304,24.97904982,0.00990213,8.010666103,0.013657277,586.5493,0.95903915,113093.4977,13.05377293,13.858081,12.17213,1.6859512,0.8816429299999999,124.83356404350685,7.572116080227453,,,,,,,,
-0.735721,1.64e+18,Gaia DR3 3083306963957212288,3.08e+18,122.362815,0.015893271,-0.735856437,0.013012632,10.76003625,0.0188737,570.10736,1.2391852,55365.3924,13.82927132,15.236962,12.662585,2.574377,1.1666863200000002,92.93648987474369,8.988339992241281,,,,,,,,
23.711426,1.64e+18,Gaia DR3 3424873687100569088,3.42e+18,90.00284209,0.014686021,23.71163808,0.012196274,9.595616228,0.016959595,565.7928,1.0103556,56920.35794,13.79919815,14.765903,12.827493,1.9384108,0.97170515,104.21425536819623,8.709562501233652,,,,,,,,
-5.054048,1.64e+18,Gaia DR3 5761537793944980608,5.76e+18,130.085027,0.013020417,-5.054067736,0.008719044,8.311279157,0.014768251,562.7802,0.9292461,79494.9284,13.43651867,14.338704,12.500569,1.8381348,0.9359496699999994,120.31842284563034,8.034858017605625,,,,,,,,
2.713627,1.64e+18,Gaia DR3 3090469320138553344,3.09e+18,125.207716,0.013470733,2.713636443,0.010217121,8.589815615,0.01529959,561.44086,1.0338235,102395.7648,13.1616621,13.990219,12.267371,1.7228479,0.8942910999999985,116.41693428829207,7.831581307836366,,,,,,,,
53.64566,1.64e+18,Gaia DR3 1560969962101341184,1.56e+18,207.1773793,0.01047279,53.64569002,0.010529486,7.504989655,0.01339041,560.475,1.0309865,67435.14546,13.61515141,14.58826,12.636227,1.952033,0.9789244099999994,133.24468733061832,7.991901899705565,,,,,,,,
56.737458,1.64e+18,Gaia DR3 1034799669061039872,1.03e+18,124.4851668,0.017105488,56.73745007,0.016386194,13.85309695,0.02491709,555.9677,1.3245931,43047.78718,14.10248947,15.409011,12.935584,2.4734268,1.1669054699999997,72.18602480075764,9.810223838065182,,,,,,,,
22.740563,1.64e+18,Gaia DR3 3424335815457645824,3.42e+18,89.06620528,0.014552171,22.74014169,0.01189335,9.25408139,0.016709575,553.8191,1.0881413,68359.97349,13.60036182,14.6219635,12.593756,2.0282078,1.006605819999999,108.06042845923145,8.432028394086325,,,,,,,,
41.047342,1.64e+18,Gaia DR3 369213397565888896,3.69e+17,11.35515134,0.016364453,41.0473186,0.010751328,9.461272639,0.017094174,553.4794,1.197489,74853.56054,13.50183582,14.595568,12.464657,2.1309109,1.0371788199999994,105.69402639111496,8.381583607147205,,,,,,,,
40.201113,1.64e+18,Gaia DR3 369095642443866368,3.69e+17,10.51693134,0.013912824,40.20088798,0.009888293,8.803176874,0.01603311,549.0623,1.3260719,108642.3194,13.09736919,13.967553,12.178391,1.7891617,0.9189781900000007,113.59535475806231,7.820566329084014,,,,,,,,
55.502316,1.64e+18,Gaia DR3 1081016570887225088,1.08e+18,120.8770818,0.010691648,55.50214741,0.010717401,8.87034024,0.016258636,545.57715,1.0808983,104071.8683,13.14403343,14.027093,12.217283,1.8098097,0.9267504300000002,112.73524723331244,7.883734822011274,,,,,,,,
33.550041,1.64e+18,Gaia DR3 136890816862345600,1.37e+17,44.33833635,0.019432578,33.54997039,0.017974708,12.04760133,0.022463722,536.31366,1.2562041,48371.09302,13.97590256,15.289711,12.842532,2.4471788,1.1333705599999995,83.00407463765237,9.380405498769441,,,,,,,,
40.779621,1.64e+18,Gaia DR3 777325034023978752,7.77e+17,165.8062929,0.013835049,40.77965864,0.013430458,9.77909005,0.018363345,532.53314,0.94158864,67333.73899,13.61678505,14.5437155,12.667831,1.875884,0.9489540500000011,102.25900312677865,8.568277276571242,,,,,,,,
41.781084,1.64e+18,Gaia DR3 381304486425828608,3.81e+17,11.17631737,0.016005674,41.78104026,0.013803652,10.92945058,0.020857867,523.9966,0.98871547,27265.25895,14.5983429,15.716167,13.549944,2.1662235,1.0483989000000005,91.49590756464174,9.791334553265635,,,,,,,,
