parallax,phot_g_mean_mag,bp_rp
1.943261675,17.01858,2.314703
1.935547185,19.056488,2.6509132
1.935272919,20.850054,1.4416218
1.930936162,20.453377,1.4623585
1.924690942,20.12423,2.448166
1.921406211,16.79514,2.0802107
1.918341947,20.380795,2.757904
1.915645324,17.95037,2.4437656
1.912431349,20.655233,2.076992
1.9111566,20.704481,1.7017803
1.908333967,20.703503,2.268547
1.907735896,14.453101,1.098383
1.901097309,20.515694,1.8728962
1.894598291,20.686827,2.3563805
1.888366976,20.78721,1.6529312
1.881810934,20.731524,1.1467686
1.877671992,19.813969,2.5683765
1.868376361,20.382961,2.1476212
1.864990322,20.758131,0.87634087
1.861369004,20.349695,2.509245
1.851425952,20.653465,1.5638008
1.849683273,19.735548,2.5131302
1.842461358,19.04585,2.609007
1.833700249,20.383963,1.5133762
1.82959722,20.618109,1.7665634
1.82470846,20.399353,1.4756603
1.818912047,20.651785,2.023943
1.816433468,20.24432,1.9656239
1.806998674,20.392553,1.9115887
1.80061881,16.960588,2.0005722
1.799621514,20.152266,2.136568
1.798395696,18.116219,2.4501095
1.797819044,20.754276,0.5346298
1.792543555,19.253443,2.3789444
1.784673701,20.690746,2.0794487
1.781658398,20.503317,2.1184616
1.780685828,20.12564,1.1805649
1.775857074,20.219929,2.1133728
1.771998276,20.5203,2.021141
1.770898506,14.543002,1.118803
1.763114002,19.279745,2.4986496
1.759008778,20.40075,2.3443623
1.755710114,20.819485,1.9992352
1.752075383,20.770489,1.659584
1.745318486,20.249746,2.4357834
1.74228023,17.951408,2.363018
1.738675405,14.219359,1.040226
1.735934573,20.298265,2.7079678
1.733008201,20.690037,1.4926052
1.723976627,20.36566,1.89748
1.723175265,20.508804,1.3579121
1.719689202,19.241806,2.643446
1.716856052,20.680628,1.8242989
1.714922405,18.923836,2.3858662
1.712327466,20.710669,1.4424229
1.711980888,20.832317,2.6059322
1.706333887,20.504822,0.65159035
1.702490491,20.883884,0.77238274
1.701766806,18.010597,2.4810028
1.699363216,20.980164,1.4247818
1.696358691,19.720083,2.355425
1.695807645,20.506414,1.9428864
1.693200925,20.573317,1.904932
1.69254033,20.850855,1.4495544
1.68613089,20.130066,1.7660084
1.685345453,20.644058,1.8402576
1.678159862,14.658163,1.137516
1.678131221,20.850628,1.2869148
1.677329991,16.225878,1.5540504
1.671417843,20.32197,1.3543015
1.670225032,15.574667,1.3834877
1.666892956,20.802778,1.6562595
1.664685782,16.398602,1.7422857
1.663318385,20.441587,1.744215
1.663307126,19.612867,2.735117
1.661791573,19.843008,2.3472614
1.660690584,20.6393,0.9637203
1.658218848,19.897348,2.8489437
1.655228254,19.923113,2.3012276
1.654529103,20.571457,2.4067307
1.645526928,18.981218,2.451437
1.643417327,19.552855,2.4899006
1.642972517,19.871468,2.4556465
1.641570164,20.587643,2.147852
1.639619097,20.725893,1.4019203
1.639039478,20.824903,1.6719532
1.638450654,19.53072,2.734604
1.637805338,18.671352,2.5938473
1.630401111,20.081335,1.531229
1.630083018,20.683178,1.1721764
1.62871142,18.716537,2.6997032
1.626070432,20.802458,2.232956
1.621171517,20.771536,1.7114372
1.612712263,20.745497,1.2627373
1.612115922,20.84914,1.2593422
1.611961319,20.563707,1.6459808
1.611615471,20.520813,1.9499111
1.611361013,18.521229,2.289837
1.611021305,19.772003,1.9591541
1.601869664,19.858047,2.2962418
1.601748546,20.176498,1.8472023
1.597995978,19.38781,2.4170418
1.597571166,14.517981,1.0016012
1.59724679,19.497417,2.508068
1.595242013,20.801445,1.6517906
1.592846853,20.59822,1.9570904
