designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,grp,distance,mag,DEdeg,solution_id,ra_error,dec_error,parallax_over_error,bp_rp,2MASS_RAJ2000,2MASS_DEJ2000,2MASS_2MASS,2MASS_Jmag,2MASS_e_Jmag,2MASS_Hmag,2MASS_e_Hmag,2MASS_Kmag,2MASS_e_Kmag,2MASS_Qflg,2MASS_Rflg,2MASS_Bflg,2MASS_Cflg,2MASS_Xflg,2MASS_Aflg
Gaia DR3 1312155462897987200,1.312155462897987e+18,249.076527601648,30.759260164444115,0.9951606832698472,0.049754165,1.0307853,3163.865921168207,1.6232237,1949.1251,16.936821,1400.6267200758366,7.6935005,182.05324,17.472736,2459.077416755892,10.483191,234.57338,16.270966,0.665854999999997,1004.8628495995764,6.926287048066881,,,,,,,249.076591,30.759314,16361838+3045335,15.48900032043457,0.050999999046325684,14.765999794006348,0.06800000369548798,14.873000144958496,0.122,AAB,222,111,000,0.0,0.0
Gaia DR3 834017090502635904,8.340170905026359e+17,158.03880529384435,47.58198250787945,2.7862529446828086,0.1393011,0.99107003,950.1545041040574,1.1982272,792.9669,18.242882,227.64236226001967,7.285767,31.244804,19.44541,1080.3813231881395,9.268847,116.56048,17.163954,1.0789280000000012,358.90495940376354,10.46798470238776,,,,,,,158.039046,47.582188,10320937+4734558,15.802000045776367,0.0689999982714653,15.37399959564209,0.10499999672174454,15.060999870300293,0.153,ABC,222,111,000,0.0,0.0
Gaia DR3 5890224634893949696,5.89022463489395e+18,231.6059781417167,-50.64697374829677,3.4982308703304126,0.17489694,1.030387,895.8875638563779,1.3099692,683.8997,18.306732,660.8740096052935,6.713324,98.44215,18.288246,326.10471818082925,8.214859,39.696934,18.464502,-0.1577699999999993,285.8587774984527,11.025974339609624,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 3693856596810052352,3.6938565968100526e+18,186.4663783584905,-2.337846876303282,1.4072243242248597,0.07035501,0.9572262,3786.6129687776775,2.1236951,1783.0304,16.74174,1559.0156533574984,12.4127655,125.59777,17.356417,3135.733078934072,9.483487,330.65192,16.007048,0.734691999999999,710.618756928345,7.483556667015831,,,,,,,186.466218,-2.33753,12255189-0220151,15.076000213623047,0.039000000804662704,14.491000175476074,0.035999998450279236,14.437000274658203,0.083,AAA,222,111,000,0.0,0.0
Gaia DR3 6001483254421707392,6.001483254421708e+18,233.71469983506591,-42.99519414950107,3.5787679501294587,0.17892261,1.0411483,841.4155262807167,1.3394535,628.1782,18.37484,160.98481052232395,4.927839,32.66844,19.82158,1044.060707264403,6.325971,165.04355,17.20108,1.173759999999998,279.4257727617757,11.14350769669228,,,,,,,233.714529,-42.99509,15345148-4259423,15.562000274658203,0.07199999690055847,14.835000038146973,0.07500000298023224,14.741999626159668,0.107,AAB,222,111,000,0.0,0.0
Gaia DR3 4657889425537694592,4.657889425537695e+18,82.50823462988576,-70.31592751494443,2.056104604762946,0.10279598,0.96108145,1031.4110599054247,1.4545821,709.0773,18.153788,253.11153022410505,7.8983126,32.04628,19.330263,1123.303813435807,6.7849097,165.55914,17.121653,1.0321350000000002,486.3565782030301,9.71901402855125,,,,,,,82.507939,-70.316147,05300190-7018581,15.821000099182129,0.07999999821186066,15.553000450134277,0.1589999943971634,15.01200008392334,0.15,ACC,222,111,000,0.0,0.0
Gaia DR3 4009625611772862848,4.009625611772863e+18,183.537235435526,26.928562034826783,3.3023767153393284,0.16510226,1.1213197,1001.002389427804,1.5530207,644.5519,18.18628,272.1161172285528,8.398054,32.402283,19.251657,1172.027012878916,10.747291,109.05325,17.075552,1.1107280000000015,302.8122125967834,10.780413067318918,,,,,,,183.537316,26.928698,12140895+2655433,15.440999984741211,0.054999999701976776,14.845000267028809,0.07100000232458115,14.487000465393066,0.066,AAA,222,111,000,0.0,0.0
Gaia DR3 4629789889695994368,4.629789889695994e+18,0.3970397768057864,-83.49567775902592,2.088646655310768,0.10441985,0.99211514,1105.99730443845,1.293314,855.16534,18.077982,310.987454543628,9.230876,33.68992,19.106686,1132.090187445636,9.869898,114.70131,17.113194,0.9647879999999986,478.7789248398316,9.677306874319054,,,,,,,,,,,,,,,,,,,,,
Gaia DR3 6372887871264915968,6.372887871264915e+18,305.28550562505364,-74.199877595134,2.260109301323628,0.112991825,0.98496085,1088.7844242657093,1.2284067,886.33875,18.095013,280.813157387102,7.5413074,37.236668,19.217499,1210.8130590191356,8.025595,150.86896,17.040203,1.0548099999999998,442.4564773988374,9.865660213024334,,,,,,,305.285395,-74.199791,20210849-7411592,15.619000434875488,0.06400000303983688,14.970000267028809,0.0729999989271164,14.78499984741211,0.1,AAA,222,111,000,0.0,0.0
Gaia DR3 1421420152462637568,1.4214201524626376e+18,265.2726499527602,56.867122945285125,0.9347421637795078,0.046731453,1.0632635,3266.8653301309087,2.095901,1558.6926,16.902039,1556.2751235222745,14.057723,110.70606,17.358326,2470.967369866659,13.046292,189.39996,16.265728,0.6363109999999992,1069.813729121441,6.755498165111046,,,,,,,265.272639,56.867229,17410543+5652020,15.413000106811523,0.05299999937415123,14.965999603271484,0.08299999684095383,14.892000198364258,0.113,AAB,222,111,000,0.0,0.0
