RAdeg,DEdeg,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,RA,dec
12.481726,-0.0994222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.715858,-0.784225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.82254,0.06955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.857015,-0.6213625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.952169,-0.934756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.991704,2.616171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.16446,40.242119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.221348,0.811417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.227145,25.926071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.263398,27.251989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.310725,42.422525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.33059,34.815128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.688242,41.076407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.842274,39.529578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.907289,39.710012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.007787,38.79985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.079782,41.443419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.10977,29.297384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.122284,40.478525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.19662,7.906913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.292384,35.077849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.321301,37.880399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.398253,40.248844,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.458549,6.051715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.483138,19.742446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.556092,9.486595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.641136,36.998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.648193,36.331095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.669964,16.734471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.760297,1.093181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.923006,14.590519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.187556,38.144502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.392816,35.142459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.392816,35.142459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.498965,9.469704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.55952,-10.460805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.577348,29.31872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.636775,0.979014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.718917,-0.639767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.753365,4.565036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.981981,4.375423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.022305,0.853581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.090883,34.25604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.139506,46.815204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.363773,37.166015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.38927,8.383676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.448429,-0.494128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.579066,38.523033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.59907,0.835177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.652936,11.309496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.703095,36.119586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.739751,38.651795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.740072,15.17819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.867473,16.969535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.126842,0.103198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.177541,6.678722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.185948,17.198611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.212218,31.538747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.223845,0.394776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.247703,38.299907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.254429,4.838474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.268034,38.900845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.328459,39.211304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.409468,-0.146565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.499146,7.559419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.598649,5.843275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.67293,14.582315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.05182,45.940934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.09045,6.653945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.199081,15.804672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.207476,17.815977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.41074,16.484806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.412079,14.923885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.46443,7.966605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.808113,6.060891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.813582,5.115858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.851456,8.602903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.25772,33.986477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.340233,-1.581915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.379744,1.217274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.383045,35.100332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.479115,0.276017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.616296,29.983869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.650203,30.474464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.676457,5.728051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.855416,13.841449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.050962,14.615185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.09685,37.196134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.18992,30.121093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.203358,0.373715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.237578,41.785013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.251373,-1.421555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.251421,-1.421398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.260885,23.499749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.345143,33.656938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.34874,0.15907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.397387,5.732738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.430411,6.113845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.461423,21.966992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.496745,4.748318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.49904,38.08905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.511064,7.490312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.51768,7.08913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.517833,7.088889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.613711,1.682868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.663822,14.149685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.689063,1.760486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.730422,5.218765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.730422,5.218765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.803667,-8.6252034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.827757,-0.841467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.934621,34.996938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.942495,42.459249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.992463,41.138474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.130342,37.930902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.144035,33.81069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.149175,13.393434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.175123,24.850095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.316214,41.936824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.394302,-4.304911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.394302,-4.304911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.49392,19.932192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.51557,31.739566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.536101,5.348031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.564258,35.341851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.573707,27.919109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.634733,27.958259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.677181,6.762315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.703596,27.105096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.731326,7.298382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.744236,6.790264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.778777,-3.44894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.821072,-2.112725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.91968,27.581204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.985038,9.310252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.990925,27.700477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.046811,27.642248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.128987,31.705537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.135687,42.009404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.322177,42.631814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.434633,34.047003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.48639,24.193279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.611418,-4.097436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
