designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,grp,distance,mag,DEdeg,solution_id,ra_error,dec_error,parallax_over_error,bp_rp,2MASS_RAJ2000,2MASS_DEJ2000,2MASS_2MASS,2MASS_Jmag,2MASS_e_Jmag,2MASS_Hmag,2MASS_e_Hmag,2MASS_Kmag,2MASS_e_Kmag,2MASS_Qflg,2MASS_Rflg,2MASS_Bflg,2MASS_Cflg,2MASS_Xflg,2MASS_Aflg
Gaia DR3 834017090502635904,8.34E+17,158.0388053,47.58198251,2.786252945,0.1393011,0.99107003,950.1545041,1.1982272,792.9669,18.242882,227.6423623,7.285767,31.244804,19.44541,1080.381323,9.268847,116.56048,17.163954,1.078928,358.9049594,10.4679847,,,,,,,158.039046,47.582188,10320937+4734558,15.80200005,0.068999998,15.3739996,0.104999997,15.06099987,0.153,ABC,222,111,0,0,0
Gaia DR3 1499574332318164864,1.50E+18,210.5656771,43.93428138,3.33863874,0.15217653,1.0406053,632.4887313,,,18.68473434,,,,20.107521,,,,17.512299,1.17243534,299.5232722,11.30258148,43.93439405,1.64E+18,0.10047476,0.126041606,21.939249,2.5952225,210.565483,43.934448,14021571+4356040,16.01199913,0.083999999,15.36200047,0.096000001,15.20400047,0.152,AAB,222,111,0,0,0
Gaia DR3 1578388317933188992,1.58E+18,190.3607075,59.43872709,3.075320428,0.10743701,1.0815265,934.0841433,,,18.26140213,,,,19.310156,,,,17.229944,1.03145813,325.169368,10.700854,59.439117,1.64E+18,0.090277009,0.084702834,28.624405,2.0802116,190.36067,59.43927,12412656+5926213,15.89700031,0.071000002,15.3579998,0.103,14.92300034,0.119,AAB,222,111,0,0,0
Gaia DR3 1761877635878317696,1.76E+18,312.8063207,14.75543334,4.159909298,0.16161081,1.0149938,781.8562761,,,18.45454979,,,,19.597803,,,,17.403313,1.05123679,240.3898567,11.5499691,14.75580949,1.64E+18,0.116995886,0.085422292,25.740292,2.1944904,312.806761,14.756158,20511362+1445221,16.07600021,0.083999999,15.34599972,0.082999997,15.21700001,0.194,AAC,222,111,0,0,0
Gaia DR3 755143696898667776,7.55E+17,159.3981179,38.78340996,4.049165464,0.15795033,1.0242451,881.5651022,,,18.32423,,,,19.422132,,,,17.315624,1.008606,246.9644693,11.36105762,38.78387802,1.64E+18,0.122617751,0.10243725,25.635689,2.1065083,159.398517,38.783962,10373564+3847022,15.99400043,0.082999997,15.34000015,0.096000001,15.27400017,0.131,AAB,222,111,0,0,0
Gaia DR3 880083329172036608,8.80E+17,116.5187597,31.45704395,2.512491998,0.121327184,0.997447,1374.533413,,,17.84197807,,,,18.75622,,,,16.916945,0.92503307,398.0112179,9.842501506,31.457158,1.64E+18,0.101066247,0.071098819,20.7084,1.8392754,116.519056,31.457355,07460457+3127264,15.77099991,0.057999998,15.33300018,0.078000002,15.26599979,0.142,AAB,222,111,0,0,0
Gaia DR3 1579172819479222272,1.58E+18,195.7016132,59.77642181,2.54311901,0.10940776,0.91666204,1063.629306,,,18.12039185,,,,19.19869,,,,17.108902,1.01148985,393.2179328,10.14722527,59.77663927,1.64E+18,0.081832714,0.086045995,23.244411,2.0897884,195.702446,59.776665,13024858+5946359,15.94099998,0.092,15.33100033,0.118000001,15.2159996,0.148,ABB,222,111,0,0,0
Gaia DR3 1566099179548508160,1.57E+18,201.8289513,58.46838506,5.123997484,0.14055978,1.0537183,710.0085772,,,18.55920792,,,,19.985893,,,,17.395449,1.16375892,195.1601271,12.10725246,58.468529,1.64E+18,0.112763792,0.121784993,36.454224,2.5904446,201.828563,58.468582,13271885+5828068,15.88700008,0.072999999,15.32499981,0.090000004,15.2510004,0.124,AAB,222,111,0,0,0
Gaia DR3 637215847844585600,6.37E+17,137.4519614,21.434928,4.437541916,0.18073285,0.9715055,951.2132289,,,18.24167252,,,,19.385317,,,,17.19876,1.04291252,225.3499841,11.47738486,21.43506414,1.64E+18,0.149857789,0.115883045,24.553045,2.1865578,137.451626,21.435114,09094839+2126064,15.79300022,0.063000001,15.32299995,0.100000001,15.34200001,0.143,AAB,222,111,0,0,0
Gaia DR3 1308563255331316224,1.31E+18,256.4775953,28.9831669,2.568658618,0.12438282,1.1548982,872.1295922,,,18.33591461,,,,19.433489,,,,17.335302,1.00061261,389.3082533,10.38444656,28.983233,1.64E+18,0.088107772,0.109277472,20.651232,2.0981865,256.477637,28.983225,17055463+2858596,16.0720005,0.082000002,15.32199955,0.082000002,14.92099953,0.109,AAA,222,111,0,0,0
Gaia DR3 3095765976888257152,3.10E+18,120.6047211,5.599190676,3.888026849,0.14898586,1.0193783,801.0916251,,,18.42816162,,,,19.821049,,,,17.285688,1.14247362,257.19987,11.3768079,5.59918322,1.64E+18,0.132839501,0.095542036,26.096617,2.5353603,120.604788,5.599222,08022514+0535571,15.93700027,0.085000001,15.31599998,0.108000003,15.24800014,0.194,AAC,222,111,0,0,0
Gaia DR3 4302133912798521472,4.30E+18,293.5533608,8.697405446,2.618513699,0.13090122,0.98848844,1016.361284,1.4596232,696.31757,18.169746,208.1040734,5.8899775,35.331898,19.542841,1187.394807,7.7506375,153.19963,17.061407,1.108339,381.8960353,10.26002025,,,,,,,293.554747,8.697392,19341313+0841506,15.86100006,0.097999997,15.30900002,0.107000001,15.14700031,0.14,AAC,222,111,0,0,0
Gaia DR3 1580352531031793152,1.58E+18,193.9130036,61.50403993,6.145234574,0.24051894,1.0027966,362.6720271,,,19.28858185,,,,21.019655,,,,17.92185,1.36673185,162.7277182,13.23127418,61.5040307,1.64E+18,0.211478546,0.202395648,25.549898,3.097805,193.913367,61.504059,12553920+6130146,15.80500031,0.07,15.30500031,0.090000004,14.95699978,0.112,AAB,222,111,0,0,0
Gaia DR3 1303160766291919360,1.30E+18,242.8975076,25.07618565,3.366233422,0.16676404,1.0066171,592.9507575,,,18.75481987,,,,20.250399,,,,17.533651,1.22116887,297.0679316,11.39054101,25.07633255,1.64E+18,0.077287816,0.126798049,20.185608,2.7167473,242.897401,25.076429,16113537+2504351,15.88199997,0.064999998,15.28499985,0.072999999,14.88000011,0.104,AAA,222,111,0,0,0
Gaia DR3 5550580991915015168,5.55E+18,95.78099231,-49.30596807,1.6412784,0.08204853,0.9743804,1300.241142,1.4505113,896.4019,17.902308,406.328541,8.131545,49.969414,18.816349,1298.118572,10.198946,127.27968,16.96461,0.937698,609.2811554,8.97821927,,,,,,,95.78083,-49.306072,06230739-4918218,15.79800034,0.066,15.2840004,0.079000004,15.1789999,0.15,AAB,222,111,ccc,0,0
Gaia DR3 4594380534338163712,4.59E+18,266.413062,26.77094921,2.840775985,0.10455011,1.0359482,1081.7226,,,18.10207748,,,,19.080532,,,,17.155859,0.94621848,352.0164931,10.36926242,26.77084217,1.64E+18,0.070434771,0.082998462,27.17143,1.9246731,266.413497,26.770758,17453923+2646147,15.86999989,0.081,15.28299999,0.097999997,15.26500034,0.145,AAB,222,111,0,0,0
Gaia DR3 1577886287796083072,1.58E+18,188.9623918,58.07551765,8.779082871,0.38528648,1.0546863,197.8708075,,,19.946413,,,,21.38727,,,,18.461775,1.484638,113.9071148,14.66365874,58.0754724,1.64E+18,0.313863158,0.301754355,22.785856,2.9254951,188.962466,58.075409,12355099+5804314,15.91800022,0.088,15.25800037,0.112999998,14.98600006,0.114,ABB,222,111,0,0,0
Gaia DR3 3998598334779616000,4.00E+18,167.33982,27.96707164,3.974596686,0.17972736,1.0124708,830.1540499,,,18.38947105,,,,19.723148,,,,17.251701,1.13777005,251.5978548,11.38593638,27.96704652,1.64E+18,0.141822577,0.138952211,22.11459,2.471447,167.339849,27.967054,11092156+2758013,15.79500008,0.057,15.25800037,0.067000002,15.16100025,0.126,AAB,222,111,0,0,0
