ra,dec
168.3082538,2.656696672
62.80031139,1.307223249
125.3347131,23.6619193
41.34738944,35.32968007
125.27486,45.69477624
50.95313869,24.54176911
195.7016132,59.77642181
232.5135778,44.82645316
182.9400476,24.53539774
205.4861143,8.64291064
244.646827,37.16723824
221.6817159,39.18705257
335.8540417,6.005417459
135.1234643,18.2618096
188.9623918,58.07551765
9.681181982,-0.484974062
93.07780415,24.15745131
210.1483791,7.788962393
142.1541327,49.06011653
175.5758932,25.70089357
161.6506422,64.37971271
321.5453763,-0.993936563
261.7558635,26.30139015
179.7309487,39.85026365
122.3618266,45.73892321
190.843238,40.33101646
167.33982,27.96707164
36.5345151,3.552401705
159.6961234,43.61030767
205.4278123,49.78113313
210.5656771,43.93428138
48.01278452,-1.002774434
187.1651725,19.88943886
203.1860247,51.8451053
197.2113368,44.99055295
55.77086141,4.284142224
219.300093,53.68022116
177.8045417,27.91392284
143.9175737,24.21077722
10.4301522,31.45831143
161.1124997,44.62188761
214.0356202,36.48056324
214.0356202,36.48056324
214.7703419,4.689638384
354.8580779,8.788034913
123.5160308,14.62140924
116.5187597,31.45704395
157.5131439,32.16396516
230.9241004,38.82089536
256.4775953,28.9831669
173.7372174,5.738186433
106.2179829,16.22634045
154.3894445,26.17626007
35.06212719,9.852841931
207.1845729,39.95982636
162.0528813,56.68234371
175.3221968,33.9789599
178.5565779,9.51129681
192.538571,24.12414736
242.8975076,25.07618565
165.0403677,3.413621896
222.33609,62.85935473
248.0718665,39.05825938
