,RAdeg,DEdeg,pmRA,pmDE,e_RAdeg,e_DEdeg,e_pmRA,e_pmDE,flag,Jmag,Hmag,Ksmag,SpType,Dist
409,19.762565,45.057652,-5.1,-5.8,67,67,4.0,4.0,P,15.37,14.74,14.386,dM1.0,622
410,20.243702,45.041372,-0.2,-15.6,63,63,3.9,3.9,P,14.17,13.445,13.227,dM0.5,392
411,20.132827,45.174993,-2.2,-7.7,63,63,3.9,3.9,P,14.14,13.547,13.33,dK7.0-,510
412,19.322946,44.320201,31.2,-7.1,63,63,3.9,3.9,P,14.135,13.526,13.299,dM1.0+,352
413,19.379467,44.264357,-11.5,-9.6,63,63,3.9,3.9,P,14.64,13.998,13.733,dK7.5+,586
414,19.335898,44.147199,30.6,-3.1,63,63,3.9,3.9,P,14.721,14.11,13.777,dM2.0,383
415,19.609762,44.490675,-24.9,1.8,63,63,3.9,3.9,P,14.126,13.509,13.268,dM3.0,216
416,19.941823,44.688552,-13.4,-11.9,65,65,4.0,4.0,P,15.049,14.42,14.222,dM1.5+,489
417,19.78781,44.644942,10.7,11.1,63,63,3.9,3.9,P,14.591,13.886,13.705,dM0.5,476
418,19.591683,44.582127,-8.8,-12.4,63,63,3.9,3.9,P,13.908,13.305,13.022,dM1.5,289
419,19.581991,44.639005,-3.8,-6.5,63,63,3.9,3.9,P,13.802,13.166,12.889,dM3.5+,151
420,18.611373,44.430659,3.2,-12.8,63,63,3.9,3.9,P,14.086,13.414,13.153,dM1.0,344
421,18.974644,44.559798,7.0,-6.2,66,66,4.0,4.0,P,15.149,14.503,14.263,dK7.5+,740
422,18.902123,44.603572,30.6,5.9,63,63,3.9,3.9,P,13.581,12.925,12.764,dK7.0+,394
423,18.960584,44.377861,0.7,-12.6,65,65,4.0,4.0,P,15.259,14.499,14.21,dM2.0,491
424,19.063573,44.375174,-9.9,-15.3,63,63,3.9,3.9,P,14.57,13.819,13.649,dK7.5+,567
425,18.913858,44.001347,27.2,-10.5,63,63,3.9,3.9,P,14.738,14.02,13.747,dM2.0+,386
426,19.200708,43.839999,1.0,-26.7,63,63,3.9,3.9,P,14.276,13.635,13.331,dM1.5+,342
427,18.833832,43.939144,113.1,7.0,63,63,3.9,3.9,P,12.554,11.968,11.703,dM4.0+,69
428,18.771223,43.961029,-0.1,-10.6,63,63,3.9,3.9,P,14.938,14.232,13.962,dM0.0,613
429,18.787407,44.849088,-1.4,-19.6,65,65,4.0,4.0,P,15.064,14.292,14.207,dK7.5+,712
430,19.070855,44.906984,-0.1,3.0,64,64,3.9,3.9,P,,,,dM1.5+,
431,19.163427,44.955065,1.9,-3.2,63,63,3.9,3.9,P,14.389,13.698,13.482,dK7.5+,522
432,18.942749,45.066033,16.4,14.9,63,63,3.9,3.9,P,13.947,13.283,13.015,dM3.5+,161
433,19.213249,45.011397,-9.1,-1.7,66,66,4.0,4.0,P,15.254,14.491,14.263,dM0.5,646
434,19.457243,44.857763,-47.6,-28.2,66,66,3.9,3.9,P,14.479,13.959,13.712,dM3.0,254
435,18.990471,44.83731,-27.8,-10.4,63,63,3.9,3.9,P,13.734,13.028,12.827,dK7.0,423
436,17.547463,47.314757,12.5,-1.7,68,68,4.1,4.1,P,15.366,14.642,14.58,dK7.0-,897
437,18.990583,47.675691,31.2,-27.4,63,63,4.0,4.0,P,13.622,13.01,12.715,dM1.5+,253
438,19.127316,47.460911,20.6,-10.2,63,63,4.0,4.0,P,13.041,12.379,12.2,dK7.5-,280
439,19.192604,47.444579,16.5,-4.3,70,70,4.2,4.2,P,15.589,14.776,14.778,dK7.5-,907
440,19.152321,47.61807,-10.3,-20.8,65,65,4.0,4.0,P,15.04,14.486,14.195,dM2.0,444
441,18.880589,47.05417,2.1,-0.4,63,63,4.0,4.0,P,14.215,13.531,13.335,dK7.5,481
442,17.931745,46.879941,-6.1,-11.2,63,63,4.0,4.0,P,14.441,13.803,13.565,dK7.5,534
443,18.633551,47.54689,-17.9,-3.8,63,63,4.0,4.0,P,13.592,12.943,12.726,dM2.0+,228
