ID,RA,Dec
1.03E+18,121.8650721,56.357661
3.81E+17,9.583155298,40.944141
3.69E+17,10.11096629,39.962723
3.16E+17,22.12903592,31.705537
1.08E+18,120.7916911,56.538904
1.37E+17,43.67902644,33.255215
1.08E+18,121.2827926,56.915436
2.56E+18,18.81350268,5.115858
3.08E+18,125.5406269,-0.280822
1.41E+17,40.26615429,36.205085
3.42E+18,88.91593222,23.28684
3.43E+18,91.33726686,23.565868
1.27E+18,226.7088809,28.480854
1.74E+17,71.15737568,35.957062
3.08E+18,124.0755592,0.089768
3.98E+17,19.03102372,45.00473
3.81E+17,7.544421349,40.128073
3.69E+17,11.84857917,39.642602
4.02E+17,18.51521436,47.642171
3.43E+18,88.94753718,24.095802
8.86E+17,111.3205995,29.056484
8.86E+17,111.3205995,29.056484
8.86E+17,111.3205995,29.056484
3.35E+18,86.5182814,13.487805
4.02E+17,15.51148825,46.972993
1.40E+17,42.03466742,35.506256
1.08E+18,123.4754854,58.414069
3.08E+18,124.1707558,0.28973
3.77E+17,15.71339746,44.558078
3.98E+17,19.01397665,44.853763
1.03E+18,123.7259129,56.4379
6.34E+18,221.7797231,-3.43417
1.41E+17,40.09200751,35.606297
1.03E+18,124.9649642,56.708719
4.01E+17,17.3321522,46.588751
1.93E+18,351.9231795,43.784305
3.43E+18,92.19766288,24.807466
3.38E+18,92.50294172,21.469461
4.01E+17,17.5578941,45.926243
3.87E+17,10.56502853,42.856125
1.02E+18,139.1880929,57.284702
3.82E+17,9.381348112,42.169534
3.77E+17,15.09315796,44.217413
3.77E+17,15.74618881,44.405963
1.56E+18,201.2153099,51.587178
3.20E+18,65.70149442,-4.642872
3.69E+17,10.67666985,40.140263
3.08E+18,125.075563,0.647598
1.03E+18,124.9911391,54.35666
2.70E+18,337.2759093,4.397951
1.03E+18,124.2750003,55.059482
1.03E+18,123.7068713,53.973425
1.40E+17,41.33967756,34.273753
3.97E+17,21.40928754,45.089239
2.15E+18,277.7758481,51.426201
1.40E+17,42.03360898,33.717882
2.58E+18,16.38929626,8.383676
3.98E+17,19.7763462,44.439517
1.29E+18,218.5001554,31.876377
3.42E+18,89.06764782,21.812014
1.37E+17,45.20795359,33.656433
1.40E+17,43.0831038,34.6671
3.09E+18,122.9941675,1.752129
3.09E+18,123.3327287,0.545041
1.03E+18,126.7337369,57.043861
1.03E+18,126.7337369,57.044052
3.98E+17,19.10101163,45.302974
3.77E+17,14.78586011,45.055925
3.75E+17,13.66393569,41.968519
1.42E+17,44.7420032,36.140302
3.81E+17,8.453818632,41.153656
5.76E+18,131.4743941,-6.135568
4.01E+17,17.86681129,46.775846
3.74E+17,17.9289263,43.486031
1.28E+18,229.5375713,31.367895
1.37E+17,45.18021613,35.49132
1.42E+17,45.4475193,36.426416
3.38E+18,92.00761948,21.244841
1.03E+18,125.4185714,55.798461
1.37E+17,44.56127407,33.480527
4.01E+18,185.2585177,26.760414
3.09E+18,124.0716565,0.815777
3.97E+17,21.61143036,45.794766
1.03E+18,126.0360563,56.500692
3.42E+18,90.5458373,23.960932
1.37E+17,44.72692342,33.707
7.00E+17,138.5275982,30.842863
7.00E+17,138.5275982,30.842863
7.00E+17,138.5275982,30.842863
1.31E+18,251.0083892,31.111663
3.97E+17,20.14401933,44.224203
3.81E+17,9.036362944,41.242927
1.39E+17,45.72810846,35.081164
1.42E+17,43.86185542,37.380654
1.03E+18,122.8056258,56.574772
3.08E+18,121.9790906,0.138836
3.64E+17,12.14840423,36.179265
1.34E+18,263.053011,36.393846
3.89E+18,183.3793384,4.691469
1.03E+18,123.1618817,55.542842
3.74E+17,13.781551,39.459379
1.01E+18,136.1492756,45.154421
1.03E+18,123.1002285,55.914861
3.73E+18,207.1178991,11.913055
7.85E+16,31.75405045,15.927274
3.43E+18,91.6604484,23.829824
7.89E+17,172.8542725,48.53083
3.09E+18,124.2384451,1.13234
1.41E+17,41.79901255,35.743343
3.43E+18,92.33833446,23.010498
1.48E+18,213.6619543,30.1941
2.86E+18,4.521652636,27.628721
1.03E+18,129.1231523,56.483681
3.41E+18,72.03160717,23.091948
3.96E+18,168.878713,11.829295
1.05E+18,164.964434,61.98612013
1.08E+18,121.453731,56.807029
9.27E+16,30.01120867,18.631909
5.23E+16,62.44909471,21.449987
3.08E+18,126.7658249,0.484642
3.98E+17,20.75610092,45.406781
3.99E+17,19.06139632,47.307835
3.97E+17,21.49985123,44.758696
1.40E+17,42.27243412,34.137529
3.09E+18,124.4340005,2.575501
3.22E+17,20.09690886,37.196134
1.39E+18,231.8209178,38.28570383
3.98E+17,19.3785083,45.02587
1.40E+17,43.96467233,35.318738
3.68E+17,12.338946,38.586678
3.77E+17,16.97586825,45.632401
3.74E+17,17.81055383,44.134019
3.75E+18,202.6866989,17.320456
4.01E+17,18.03382478,47.648295
1.39E+17,45.28863954,35.924238
1.01E+18,137.3772229,44.846637
3.43E+18,89.27907314,24.689242
6.10E+17,132.4250918,16.08147
1.41E+17,43.56839086,36.081117
3.98E+17,20.71882952,44.745715
3.68E+17,13.34661711,38.845828
1.40E+17,42.13530068,35.01131
1.51E+18,190.8870718,32.131849
2.57E+18,29.55999493,9.551027
1.42E+17,41.61156259,36.730781
1.40E+17,41.37962591,34.322586
3.09E+18,122.9741404,4.87677
7.52E+17,161.2231141,37.626799
3.42E+18,89.13926622,22.162124
1.29E+18,219.2540651,32.163563
3.10E+18,124.3576578,8.493749
3.83E+18,147.6591876,-2.646455
1.03E+18,128.7822977,56.452532
3.42E+18,91.17113027,22.048929
4.02E+18,172.510168,29.494347
1.41E+17,43.41599886,36.421422
7.32E+17,166.9298592,28.250923
3.42E+18,90.73162266,22.206939
3.98E+17,20.09288067,45.979523
3.43E+18,91.58699938,24.243425
3.07E+18,123.4607301,-0.712216
5.82E+16,54.05705169,20.717122
3.82E+17,8.22434511,41.752076
7.59E+17,171.9285681,35.075098
7.59E+17,171.9285681,35.075098
7.59E+17,171.9285681,35.075098
7.59E+17,171.9285681,35.075098
1.40E+17,41.85833398,34.422554
3.43E+18,88.86028364,24.708635
4.02E+18,186.7668928,33.059022
4.00E+18,166.9540576,25.425259
1.67E+18,217.7069088,63.6819327
2.15E+18,274.8971271,53.167847
3.09E+18,125.7005088,2.036795
3.08E+18,126.5814044,0.85337
3.77E+17,15.95708401,45.217229
1.41E+17,40.9891468,35.834258
1.40E+17,44.18713123,35.680742
1.41E+17,41.18431614,35.614159
1.35E+18,264.9524057,44.548832
1.37E+17,43.13439455,33.722159
3.09E+18,124.6048111,2.260776
2.48E+18,21.7788259,-3.44894
1.03E+18,127.664002,57.939068
3.10E+17,19.65000221,30.474464
3.07E+18,123.0429858,-1.444609
3.43E+18,92.34601129,22.634816
3.43E+18,91.79262808,24.742222
3.20E+17,20.34509012,33.656938
1.08E+18,121.3529371,56.369113
3.78E+17,15.06130633,46.177542
1.03E+18,123.7701458,55.387073
3.69E+17,10.70334025,39.377852
