parallax,phot_g_mean_mag,bp_rp
10.04315944,15.6224985,2.8388767
10.04315339,18.080069,3.4976215
10.04314652,9.401346,0.76634026
10.04314244,15.482254,2.4357271
10.04313484,18.939293,0.733366
10.04313384,20.802437,1.8673725
10.04312223,10.610523,1.011961
10.04312006,20.863258,1.418581
10.04311166,16.433012,2.3397694
10.04310249,14.090415,2.0460234
10.04309818,19.500196,3.0194225
10.04308781,17.00475,2.983944
10.04308665,17.692099,3.543766
10.04308253,16.455343,2.8507128
10.0430825,20.776077,1.3178768
10.04308194,20.324404,1.7949467
10.04307024,11.783925,1.3547964
10.04306838,20.788996,0.9778938
10.04306097,10.001351,0.8298235
10.04304542,15.494703,2.5700474
10.04304414,13.652379,2.0136576
10.04302619,20.650814,1.5903759
10.04301959,16.09987,2.9142942
10.04301885,15.806348,2.8334694
10.04301793,16.138895,2.917654
10.04300773,19.208664,3.5407314
10.04298687,15.697297,2.8212633
10.04297781,19.114502,0.79286194
10.04296346,18.528591,3.59301
10.04295849,11.000069,1.0771608
10.04295404,13.229987,1.9419966
10.04292295,19.78396,2.6672935
10.04292265,16.572062,-0.09496117
10.04290854,16.573841,2.9634686
10.04290223,19.817255,2.8187046
10.04289805,19.73409,0.85907555
10.04288084,17.240997,3.385254
10.04287956,10.492022,0.99948406
10.04287335,16.696997,3.110443
10.04286684,19.460608,3.397747
10.04286592,16.44936,2.910448
10.04286352,17.531359,3.2913342
10.04285598,15.207235,2.7254534
10.04283785,9.364142,0.7945194
10.04282383,16.02714,2.6335325
10.04281944,16.062855,2.7064333
10.04281528,15.186177,2.6817112
10.04280581,20.542326,2.4976273
10.04280141,17.602364,3.399826
10.04280091,10.526225,0.94684887
10.04278606,20.939806,1.8902645
10.04277022,17.599134,3.483984
10.042754,15.902233,2.8952541
10.04274722,18.82867,0.55254555
10.04274697,13.255889,2.062333
10.04274512,12.588429,2.1672688
10.04273292,16.183773,2.5930748
10.04272387,19.527668,3.445383
10.04272083,17.341814,0.15946388
10.04270939,14.648098,2.3692083
10.04269968,14.791397,2.4284277
10.04268518,9.8218975,0.8261204
10.04265542,9.365929,0.7309933
10.04265263,11.131684,1.1614885
10.04262922,17.089481,3.2061768
10.04262092,11.4373455,1.2547169
10.04261118,13.8073015,2.1548424
10.04259035,17.602762,3.3491077
10.04258945,18.83188,3.7137203
10.04258339,19.126698,3.5045204
10.04258099,16.65974,2.9215574
10.04256657,19.941399,4.21644
10.04251568,14.924594,2.432273
10.04246382,16.820757,3.0421324
10.04245238,18.648558,3.77277
10.04245096,16.340729,2.9646235
10.04244779,20.328611,2.9860744
10.04244761,16.450737,3.04142
10.0424455,15.045544,2.4792356
10.04243326,8.3891945,0.64415646
10.04239564,19.66211,0.9363117
10.04239429,10.271695,0.8950701
10.04238732,18.15027,3.6141834
10.04236891,15.635665,2.6994686
10.04236695,20.604973,1.356884
10.04235763,15.59154,2.6071224
10.04235261,18.430088,0.58655167
10.04234479,19.86093,1.2296677
10.04233333,14.715215,2.4695206
10.04233019,14.066302,2.29397
10.04231722,14.990946,2.280714
10.04231078,18.094498,0.24014854
10.04230745,20.465939,2.0131054
10.04229937,15.841767,2.6974783
10.04229838,16.787657,3.2059574
10.04228395,15.778902,2.740326
10.04228073,15.536344,2.6658316
10.04228035,14.442234,2.4273539
10.04226388,17.887175,3.5470142
10.04223044,15.64364,2.5624027
10.04222541,20.95283,1.7391644
10.04222173,15.481781,2.6760225
10.04219501,12.178246,1.4132061
10.04218686,10.980461,1.0804911
10.04217743,12.541115,1.6521425
10.04215045,20.687502,1.7714634
10.04214551,15.479672,2.7758627
10.04213969,20.02286,2.9122581
10.0421391,14.432548,2.7391653
10.04213333,16.15382,2.82403
10.04213192,20.444534,1.8645439
10.04213045,20.81293,1.7070293
10.04212716,17.545685,3.3083363
10.04212539,18.11709,3.3167534
10.0421022,19.250706,3.5716705
10.04209889,20.692923,1.8186779
10.04209051,10.818879,1.0434523
10.04207426,14.327046,2.103032
10.04206877,14.247448,2.23903
10.04206525,20.469524,1.8805828
10.04202801,18.961468,3.4634228
10.04202636,20.595507,2.2263832
10.04202224,20.65636,1.8756123
10.04201851,11.34155,1.2293587
10.04201019,20.824297,1.3833866
10.04200609,15.074596,2.3845224
10.04200423,17.392294,3.2378082
10.0419994,13.340182,1.9909563
10.04199178,17.70882,3.0802498
10.04198999,12.985335,1.8729076
10.04198587,16.893873,2.319006
10.04197914,17.779688,3.5193176
10.0419779,12.46579,1.5891571
