RAdeg,DEdeg
86.47479,1.19097
86.51807,13.4878
86.78912,43.30353
87.2451,28.22627
87.24556,26.18999
87.44105,16.03071
87.8007,34.22144
89.05224,24.62524
89.34391,20.94819
90.04964,28.33552
90.1507,29.52477
90.84088,28.96866
90.89962,28.11148
91.4702,27.71864
91.71196,28.14985
91.77001,17.04786
91.84582,28.97094
91.89224,21.3947
92.14789,39.50871
93.20416,15.00074
93.30691,47.92042
93.36,29.10322
93.51056,15.1581
93.67929,34.28551
93.82139,17.63368
94.17578,36.81074
94.17578,36.81074
94.17583,36.81082
94.17583,36.81082
94.68507,54.77182
94.70428,32.93218
94.74273,41.28072
95.38185,36.88012
95.39923,21.85503
95.81536,27.9139
95.95797,29.39128
95.97796,59.30652
96.07024,24.48719
96.2441,39.3797
96.25294,30.94689
96.73492,28.51218
96.74773,34.63947
96.82401,32.92016
97.19483,32.34541
97.21401,35.20575
97.6701,35.96591
97.7048,28.40019
97.8069,27.47527
97.90449,33.17658
98.06349,26.50821
98.06352,26.5082
98.06352,26.5082
98.44798,23.8434
98.61674,31.07654
98.64283,26.78245
98.64283,26.78245
98.71534,26.77808
98.7637,28.06848
98.903,28.70807
98.90343,30.15426
99.13383,32.87861
99.35294,30.09378
99.39645,33.7837
99.4266,29.83355
99.5565,33.88208
99.63553,28.98184
99.71045,38.57417
99.73544,49.68489
99.78116,29.28136
99.80475,35.34409
99.85851,34.66366
99.99788,34.59191
100.14195,33.16318
100.56532,30.26869
100.69098,15.22296
100.73397,53.57
100.87882,37.72316
100.95275,26.79802
101.16828,28.8509
101.17458,32.24919
101.43332,17.66512
101.7868,34.59666
101.95101,30.44434
102.083,6.91426
