RAdeg,DEdeg
48.212751,-4.808608
48.213715,-0.025268
48.235733,1.181164
48.267984,34.359104
48.335602,-0.673444
48.610459,-4.802147
48.909621,33.25704
49.023034,27.320233
49.205898,0.5162
49.223578,18.010782
49.223694,1.082896
49.262536,24.021912
49.583124,38.27603
49.73558,-0.02959
49.762505,14.800265
49.917712,6.794054
50.2178,0.63277
50.263413,34.438143
50.400205,25.331816
50.731745,24.726811
50.752911,-0.312767
50.833757,3.986949
50.885013,28.07071
50.900402,-1.159782
50.952881,24.541519
51.169277,1.403675
51.187775,-0.157442
51.256725,0.701479
51.379084,25.329767
51.442806,19.34925
51.648346,37.866669
51.86709,-0.8337114
52.013497,32.752719
52.155091,5.549075
52.187877,6.412868
52.301388,-1.1332852
52.349596,37.35924
52.371699,49.598084
52.377323,-2.084927
52.525513,0.492884
52.612423,-0.132557
52.840893,0.476922
52.993969,26.265881
53.144561,6.114664
53.203705,-1.166593
53.248722,-1.818893
53.400766,29.192543
53.414726,24.155752
53.536002,-7.3969882
53.62717,4.55972
53.647688,8.185701
53.849779,28.189901
53.997345,5.758044
54.057093,20.717122
54.091763,-6.7249249
54.421203,36.965675
54.486712,38.84377
54.57831,4.46205
54.717669,-0.8510094
54.783897,0.628431
54.927158,1.215929
54.941852,23.905756
55.073237,1.758599
55.40052,1.018589
55.545193,0.818299
55.615042,24.067897
55.616026,24.597028
55.634007,-0.317701
55.770592,4.284198
55.772806,24.475312
56.006481,0.652881
56.373561,27.089453
56.506585,0.9198767
56.528557,9.166142
56.699259,32.54647
56.705309,28.356903
56.722354,28.497318
56.774791,33.337748
56.835826,23.689874
56.929208,30.726899
56.96591,25.791836
57.289742,7.38591
57.311905,9.424226
57.311951,9.424276
57.399227,0.209316
57.807315,28.18477
57.834731,24.278902
57.892767,33.136357
57.995119,0.972389
58.036574,11.644506
58.260508,16.43888
58.375434,15.753611
58.394226,33.704065
58.623424,0.143281
59.244303,29.134675
59.262395,40.274848
59.520494,29.298334
59.535218,50.108767
59.624,35.161594
60.156564,41.166626
60.403463,18.724597
61.514753,37.146368
61.568858,26.750934
61.629865,-3.868895
61.675274,19.414736
61.793534,24.444604
61.809414,24.661347
61.841501,25.056811
61.849969,19.168877
62.058307,27.894902
62.449075,21.449987
62.45482,28.510963
62.530432,-4.2118235
62.800043,1.307245
63.0422,30.927847
63.261786,-3.484144
63.374631,31.04141
63.537008,21.649591
63.609238,15.796813
63.786573,2.64907
63.81267,34.255504
64.016412,30.364134
64.566619,27.999031
64.589586,44.432252
65.253555,7.902575
65.487042,30.258051
65.701479,-4.642872
65.718469,-2.495432
65.812263,7.269815
65.838538,-2.843671
66.439915,29.853321
66.750043,39.146502
66.868575,3.604713
67.30553,7.898598
67.430855,32.353742
68.482612,4.551606
68.882574,29.270066
69.470365,22.360727
70.378139,9.518626
70.415296,29.450708
70.560143,8.811918
70.689326,30.245564
70.721869,29.482505
70.740564,22.386599
70.968534,9.97632
71.157261,35.957062
71.556116,29.906813
71.673829,0.027107
71.909645,27.600296
71.909645,27.600296
72.031509,23.091948
72.122772,22.936136
72.256845,52.803543
72.8694,24.4425
72.918292,25.64697
73.15363,14.715187
74.876261,15.998409
76.00668,16.755621
76.300835,30.723002
76.300835,30.723002
76.605599,23.822744
78.577614,28.235552
78.700895,24.661566
79.216903,13.677063
79.25699,29.418521
79.710765,3.330078
79.878055,29.673731
80.262499,29.96956
80.280127,22.256284
80.470648,29.631479
80.821197,11.400004
80.885854,19.555069
81.160441,26.778414
81.718627,-0.4126407
81.810268,23.749058
81.933323,-1.1437768
82.264524,-1.0367195
82.344826,27.573526
82.412903,0.9650112
82.619788,0.9769175
82.771401,28.116645
82.894659,45.590561
82.945843,0.8267424
83.315117,-0.2145209
83.624876,46.076852
83.625346,34.018397
83.661925,14.577998
83.941908,0.2567854
84.071517,9.346158
84.083571,19.319028
84.253658,1.2549367
84.523582,0.252602
84.595704,18.410365
84.652074,0.718181
85.025973,35.04126
85.142812,14.344852
85.399182,18.396872
85.584783,28.835001
85.827644,57.419785
86.211438,0.9638467
86.327849,1.2022793
86.466486,49.614174
86.474793,1.190972
86.518073,13.487805
86.789121,43.303534
87.245104,28.226268
87.245557,26.18999
87.441047,16.030713
87.800697,34.221439
89.052243,24.625238
89.343906,20.948188
90.049639,28.335524
90.150697,29.524771
90.840882,28.968661
90.899615,28.111478
91.470204,27.718642
91.711959,28.149851
91.770012,17.047864
91.845824,28.970945
91.89224,21.394695
92.147889,39.508709
93.204164,15.000737
93.306912,47.920425
93.360001,29.103219
93.510564,15.158098
93.679287,34.285506
93.821386,17.63368
94.175784,36.810739
94.175784,36.810739
94.17583,36.810825
94.17583,36.810825
94.685066,54.77182
94.704284,32.932184
94.742726,41.280722
95.381848,36.880115
95.399231,21.855031
95.815356,27.913896
95.957973,29.391278
95.977963,59.306515
96.070239,24.487188
96.244105,39.379698
96.252943,30.946888
96.734915,28.512177
96.747732,34.639471
96.824012,32.920164
97.194831,32.345406
97.214011,35.205753
97.6701,35.965907
97.704801,28.400192
97.8069,27.475266
97.904492,33.176579
98.063492,26.508207
98.063515,26.508198
98.063515,26.508198
98.447977,23.843399
98.616743,31.07654
98.642831,26.78245
