DEdeg,solution_id,designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
55.58518,1.64E+18,Gaia DR3 1081041279834864896,1.08E+18,120.8167259,0.013859601,55.58487547,0.013550431,11.71045528,0.01951038,600.2166,1.3753899,85828.60872,13.35328674,14.406336,12.326233,2.080103
45.864333,1.64E+18,Gaia DR3 377130190522459136,3.77E+17,15.30949176,0.019372186,45.86414308,0.015294631,14.03187046,0.023882115,587.54724,1.1391495,27450.57563,14.59098816,16.064045,13.404477,2.6595678
24.979402,1.64E+18,Gaia DR3 3426697845610520064,3.43E+18,92.73192793,0.011913304,24.97904982,0.00990213,8.010666103,0.013657277,586.5493,0.95903915,113093.4977,13.05377293,13.858081,12.17213,1.6859512
-0.735721,1.64E+18,Gaia DR3 3083306963957212288,3.08E+18,122.362815,0.015893271,-0.735856437,0.013012632,10.76003625,0.0188737,570.10736,1.2391852,55365.3924,13.82927132,15.236962,12.662585,2.574377
23.711426,1.64E+18,Gaia DR3 3424873687100569088,3.42E+18,90.00284209,0.014686021,23.71163808,0.012196274,9.595616228,0.016959595,565.7928,1.0103556,56920.35794,13.79919815,14.765903,12.827493,1.9384108
-5.054048,1.64E+18,Gaia DR3 5761537793944980608,5.76E+18,130.085027,0.013020417,-5.054067736,0.008719044,8.311279157,0.014768251,562.7802,0.9292461,79494.9284,13.43651867,14.338704,12.500569,1.8381348
2.713627,1.64E+18,Gaia DR3 3090469320138553344,3.09E+18,125.207716,0.013470733,2.713636443,0.010217121,8.589815615,0.01529959,561.44086,1.0338235,102395.7648,13.1616621,13.990219,12.267371,1.7228479
53.64566,1.64E+18,Gaia DR3 1560969962101341184,1.56E+18,207.1773793,0.01047279,53.64569002,0.010529486,7.504989655,0.01339041,560.475,1.0309865,67435.14546,13.61515141,14.58826,12.636227,1.952033
56.737458,1.64E+18,Gaia DR3 1034799669061039872,1.03E+18,124.4851668,0.017105488,56.73745007,0.016386194,13.85309695,0.02491709,555.9677,1.3245931,43047.78718,14.10248947,15.409011,12.935584,2.4734268
22.740563,1.64E+18,Gaia DR3 3424335815457645824,3.42E+18,89.06620528,0.014552171,22.74014169,0.01189335,9.25408139,0.016709575,553.8191,1.0881413,68359.97349,13.60036182,14.6219635,12.593756,2.0282078
41.047342,1.64E+18,Gaia DR3 369213397565888896,3.69E+17,11.35515134,0.016364453,41.0473186,0.010751328,9.461272639,0.017094174,553.4794,1.197489,74853.56054,13.50183582,14.595568,12.464657,2.1309109
40.201113,1.64E+18,Gaia DR3 369095642443866368,3.69E+17,10.51693134,0.013912824,40.20088798,0.009888293,8.803176874,0.01603311,549.0623,1.3260719,108642.3194,13.09736919,13.967553,12.178391,1.7891617
55.502316,1.64E+18,Gaia DR3 1081016570887225088,1.08E+18,120.8770818,0.010691648,55.50214741,0.010717401,8.87034024,0.016258636,545.57715,1.0808983,104071.8683,13.14403343,14.027093,12.217283,1.8098097
33.550041,1.64E+18,Gaia DR3 136890816862345600,1.37E+17,44.33833635,0.019432578,33.54997039,0.017974708,12.04760133,0.022463722,536.31366,1.2562041,48371.09302,13.97590256,15.289711,12.842532,2.4471788
40.779621,1.64E+18,Gaia DR3 777325034023978752,7.77E+17,165.8062929,0.013835049,40.77965864,0.013430458,9.77909005,0.018363345,532.53314,0.94158864,67333.73899,13.61678505,14.5437155,12.667831,1.875884
41.781084,1.64E+18,Gaia DR3 381304486425828608,3.81E+17,11.17631737,0.016005674,41.78104026,0.013803652,10.92945058,0.020857867,523.9966,0.98871547,27265.25895,14.5983429,15.716167,13.549944,2.1662235
-1.123175,1.64E+18,Gaia DR3 3071095203702171264,3.07E+18,124.8166328,0.011188379,-1.123601932,0.009425822,8.090557998,0.015468228,523.04364,1.1160707,104189.6679,13.1428051,14.009413,12.221223,1.7881899
41.315638,1.64E+18,Gaia DR3 381232880722725632,3.81E+17,9.971655857,0.013083288,41.31567077,0.010401653,8.565693716,0.016452657,520.6268,0.96911013,75070.87053,13.4986887,14.46116,12.527183,1.9339771
57.642751,1.64E+18,Gaia DR3 1034488472910437376,1.03E+18,128.1589114,0.015148024,57.64222481,0.01385547,11.83970662,0.022927256,516.40314,1.0942945,25640.00901,14.66507149,16.069939,13.503071,2.5668678
35.855533,1.64E+18,Gaia DR3 140978010820738688,1.41E+17,41.23914408,0.012789521,35.85524961,0.011656971,7.73457845,0.015011293,515.2507,1.0488515,75132.409,13.49779892,14.388783,12.563446,1.8253374
0.098089,1.64E+18,Gaia DR3 3083622214558036736,3.08E+18,122.0715861,0.015187023,0.098022284,0.009411314,9.332313493,0.018162815,513.8143,1.124517,55612.11606,13.82444286,14.938971,12.774324,2.1646461
22.1248,1.64E+18,Gaia DR3 3423686695577905408,3.42E+18,90.74775287,0.020540398,22.12463101,0.017778795,13.60222057,0.027163174,500.7596,1.1554767,46090.99912,14.02832699,15.400901,12.873191,2.52771
42.122511,1.64E+18,Gaia DR3 381361970265014784,3.81E+17,10.03684346,0.010939155,42.1224638,0.010262677,7.876356033,0.015733156,500.62146,1.0955229,95438.50839,13.23805809,14.089503,12.332965,1.7565384
0.734787,1.64E+18,Gaia DR3 3089577684927851136,3.09E+18,123.8919847,0.013938602,0.734430308,0.010740848,7.935775255,0.01600471,495.84,1.0192895,135542.5555,12.857178,13.644665,11.991152,1.653513
0.680893,1.64E+18,Gaia DR3 3083765082349197568,3.08E+18,122.602203,0.017779244,0.680660407,0.014597041,10.21244458,0.020699102,493.3762,1.0244913,44657.34752,14.062634,15.306324,12.95907,2.3472538
25.120087,1.64E+18,Gaia DR3 3429522658484247040,3.43E+18,89.9600632,0.012678124,25.11989399,0.010647096,7.462888287,0.015260715,489.02612,1.0472759,93470.0457,13.26068592,14.129368,12.335273,1.794095
33.703121,1.64E+18,Gaia DR3 136722866461088512,1.37E+17,43.9300416,0.015885372,33.70273247,0.014340864,8.871454969,0.01825487,485.97742,1.0644931,50377.30816,13.93177986,14.998746,12.90791,2.0908356
22.252203,1.64E+18,Gaia DR3 3423693425791987456,3.42E+18,90.66916702,0.014562838,22.25213603,0.012464327,8.175315679,0.017152788,476.61734,1.0751984,92940.22666,13.26685715,14.143467,12.3437395,1.7997274
55.711164,1.64E+18,Gaia DR3 1033233174228723328,1.03E+18,124.0397692,0.011862036,55.71107321,0.010363927,6.623355623,0.013917959,475.88553,1.2095706,83777.83605,13.37954426,14.16386,12.486202,1.6776581
22.815281,1.64E+18,Gaia DR3 3424527100418560384,3.42E+18,89.49212798,0.020700246,22.81514605,0.0184984,12.34196374,0.02596599,475.31265,1.2046053,37247.282,14.2596302,15.628891,13.088355,2.540536
1.397468,1.64E+18,Gaia DR3 3077994776605425920,3.08E+18,126.2884929,0.013091104,1.397257533,0.011238215,8.887290642,0.018804152,472.62387,1.1748667,93405.49952,13.26143551,14.233145,12.282802,1.9503431
-0.14308,1.64E+18,Gaia DR3 3077404029624141184,3.08E+18,124.9664645,0.012280468,-0.14328782,0.009898759,8.05897421,0.017277455,466.44452,0.99358225,73773.41116,13.51761723,14.346526,12.626836,1.7196903
34.624314,1.64E+18,Gaia DR3 140104311393395072,1.40E+17,41.84771424,0.014672191,34.62422316,0.012881196,7.721961288,0.016649095,463.80664,1.0732764,65892.77941,13.64027214,14.523161,12.712091,1.8110695
23.157054,1.64E+18,Gaia DR3 3424639147526052224,3.42E+18,90.4351752,0.01873881,23.15681284,0.016367106,10.62988704,0.02300884,461.99142,1.180986,38497.87006,14.22377491,15.572119,13.079651,2.4924679
24.789051,1.64E+18,Gaia DR3 3425933856826523520,3.43E+18,93.13141158,0.023865597,24.78867524,0.021276496,12.76314242,0.027866326,458.0131,1.0858512,21176.28343,14.87274265,16.399477,13.664658,2.7348194
