designation,source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag
Gaia DR3 1933443304268355968,1933443304268355968,339.82602093415153,42.27871617576474,1.1869853331215976,0.05934779,3.203075,23408.94700833588,16.437725,1424.099,14.763912,9872.5523222546,27.125769,363.95474,15.3524685,19776.099672475742,38.8589,508.92075,14.007544
Gaia DR3 6916422751441062144,6916422751441062144,313.38601782863725,-3.311850398115379,0.5884381020439018,0.029421171,0.94601554,15728.944028080608,3.8079567,4130.547,15.195618,8552.562608263506,15.571718,549.23694,15.508302,10280.342070622812,13.869375,741.226,14.717876
Gaia DR3 6727921619016806784,6727921619016806784,275.5676948026619,-37.850392621884865,0.5916363968865315,0.029581083,0.97309023,16069.607271252606,5.8161654,2762.9214,15.172354,8093.515641824164,21.528555,375.9433,15.568199,11535.680262568945,15.545512,742.05853,14.592788
Gaia DR3 6026296173884555520,6026296173884555520,253.19935961156244,-33.53783760367956,1.2081185395405345,0.06040442,1.0069286,4359.752081393017,2.0071769,2172.0815,16.588713,1803.5823247498683,21.78338,82.79626,17.198202,4018.7232611335776,23.439322,171.4522,15.737676
Gaia DR3 4042515509254666112,4042515509254666112,269.9892303284084,-33.26500521776413,0.7062367382210749,0.035310958,0.9577851,13316.67775695442,4.4010735,3025.7795,15.376377,5647.317793261234,11.930454,473.35312,15.958937,11181.340866729872,19.250067,580.84686,14.62666
Gaia DR3 5823007499037125760,5823007499037125760,239.42221065230746,-64.40700907388725,0.7347183661658064,0.036735002,0.94732505,8014.407378245841,2.2823112,3511.5312,15.927689,3896.1978909374106,8.502912,458.21927,16.36194,5862.904676766248,8.265403,709.3308,15.327614
Gaia DR3 2164440561159309184,2164440561159309184,318.61264367458705,47.183005843083514,0.4704447187889765,0.023521649,1.0663276,14303.698605513024,3.90727,3660.791,15.298746,7295.7373421591265,10.676046,683.37445,15.680869,10060.4727982721,9.031223,1113.9657,14.741349
Gaia DR3 1951416436735441280,1951416436735441280,322.35236002115704,35.70444879798636,0.49454519044106765,0.024726639,0.972828,14919.127423639542,3.2768583,4552.8755,15.253008,7891.676698952121,8.636509,913.7577,15.595619,10136.405715150653,8.876422,1141.9473,14.733186
Gaia DR3 5409549586066743296,5409549586066743296,146.9174311656996,-48.52674681245904,0.6836930953791891,0.034183796,0.9557246,6878.815662968283,2.8832054,2385.8223,16.093582,3310.4472755758416,12.509928,264.6256,16.538826,6134.389794954769,43.741993,140.2403,15.278467
Gaia DR3 509062308732727296,509062308732727296,24.93079941487914,58.579607099325074,0.3053669588587982,0.015267965,1.039277,46556.26620838524,7.1737432,6489.815,14.017422,15055.475670314047,12.694209,1186.0114,14.894306,45885.83967277429,16.545303,2773.3452,13.0936985
Gaia DR3 5189213988502467968,5189213988502467968,152.84664853171589,-86.36005085145925,0.9146017618264266,0.04572894,1.005429,3736.637054631281,2.0493772,1823.3037,16.756165,1540.345158182054,8.073113,190.7994,17.369497,3093.597916792117,10.377618,298.1029,16.021736
Gaia DR3 5807886229154491264,5807886229154491264,251.11412222941652,-70.40835380640476,1.631758657996244,0.081585884,0.96981126,1599.95381829392,1.1874541,1347.3816,17.677097,430.74491670192214,4.402158,97.84859,18.752993,1695.459096431587,5.404065,313.73773,16.674677
Gaia DR3 2060549253634944512,2060549253634944512,304.7839610542917,36.79255431720984,1.29743743660037,0.06487024,1.1230453,2477.2213735553387,2.982052,830.71027,17.202456,647.6460182039126,8.443326,76.705086,18.310198,2682.9376462283212,9.5236225,281.714,16.176369
Gaia DR3 3165316478255703680,3165316478255703680,113.0637753020385,14.839950938687279,0.5424607556874548,0.027122356,1.1046718,19662.875092819824,7.2632575,2707.1704,14.953249,10970.97782896456,21.475372,510.86322,15.237929,12586.201301114159,25.284372,497.7858,14.498158
Gaia DR3 5781085117826376448,5781085117826376448,251.30449548690635,-75.75203240041851,0.7410956911376456,0.037053853,1.0716046,6915.158094147044,2.5343611,2728.5608,16.087862,3376.281561795448,9.859189,342.45023,16.517447,5086.566483475995,13.111079,387.9594,15.481833
Gaia DR3 4209961097119434496,4209961097119434496,294.3557042203696,-4.846913367650825,0.8567823749847445,0.04283804,1.257119,10223.066479594936,4.2804112,2388.3374,15.663414,4521.6194526814925,12.67466,356.74484,16.200308,8205.659000819449,24.081762,340.74164,14.962612
Gaia DR3 6230240909168554624,6230240909168554624,221.87937332973922,-24.1440603263823,0.5994720732305144,0.029972848,0.9278057,16230.812753764818,5.8950624,2753.2893,15.161516,7427.006611481914,25.304565,293.5046,15.661508,12647.520143476584,12.32342,1026.2996,14.492882
Gaia DR3 6435743411977757184,6435743411977757184,271.4087506566445,-68.51629662299172,0.2693872726170184,0.013469024,1.0333549,73337.19771479117,6.877312,10663.643,13.524056,29437.93629381797,12.8135805,2297.4014,14.166274,62621.5852712025,19.725023,3174.728,12.756085
Gaia DR3 2957665357935340288,2957665357935340288,83.27794477167431,-23.77316727713754,0.5454529717702256,0.02727196,0.9924285,11271.675534085536,2.8597422,3941.5007,15.557396,5762.446674000445,12.106718,475.971,15.937025,7846.7940313309855,11.766447,666.8788,15.011165
Gaia DR3 1546394423650885632,1546394423650885632,180.5021719359566,49.14498118208818,0.7962200100342778,0.039809994,1.0224001,6617.7065906450825,2.1689444,3051.1187,16.135597,3152.8252284548257,7.2515073,434.78204,16.591793,4923.957203290763,9.046616,544.28723,15.51711
Gaia DR3 6737222971993046656,6737222971993046656,280.67987505697937,-31.053570801020737,1.1989928320941992,0.059948124,1.0001827,4179.320805811955,2.7356813,1527.7075,16.634604,1513.592665893661,8.688026,174.21594,17.38852,3798.1729856632714,9.618765,394.8712,15.798959
Gaia DR3 4084339905089665920,4084339905089665920,289.6059398772228,-18.36073471618904,1.046421670825895,0.052319758,1.0258003,6133.408561327382,3.0457137,2013.7837,16.218113,2776.245904877308,17.424715,159.32805,16.729897,4798.033850998846,20.17961,237.76643,15.545238
Gaia DR3 542692692928751488,542692692928751488,51.96359159507537,69.64713554165631,0.963041280757453,0.04815084,0.99280924,3341.48865282595,1.6033442,2084.0745,16.877518,1105.291557702333,7.164534,154.27263,17.72985,3249.2486859239307,9.000181,361.02036,15.968438
Gaia DR3 5052000984669329536,5052000984669329536,43.08154580885946,-33.65756271826127,0.9881701209367566,0.049407247,0.98558617,4001.6105491320063,1.6798031,2382.1902,16.68178,1620.4624341389424,8.420436,192.44402,17.314445,3406.1725470159568,12.450255,273.58255,15.917229
Gaia DR3 1992184197589788928,1992184197589788928,349.1856846752329,51.96299195726752,0.6356605056235173,0.031782214,0.98032117,8040.5884598144185,2.5219524,3188.2395,15.924148,3892.922786036196,12.938108,300.8881,16.362852,5974.950002334753,14.2808895,418.38782,15.30706
Gaia DR3 4479542484758150144,4479542484758150144,280.7527421741843,9.179297290230904,0.5850100130511161,0.029249756,0.9980006,16785.142830495282,5.996198,2799.2976,15.125054,8566.766508837876,13.059631,655.9731,15.5065,11787.043355998296,14.1722555,831.6985,14.569384
Gaia DR3 5636204566576795648,5636204566576795648,137.3855087207955,-27.99379128469803,0.4881923187815298,0.024408994,0.9857228,14986.495807733243,3.199063,4684.6514,15.2481165,8089.359094177154,14.130433,572.4778,15.568757,9963.903516329567,10.384616,959.48694,14.7518215
