ID,PLATE,MJD,FIBER,RA,DEC,U,Z,I,G,R,ERR_U,ERR_Z,ERR_I,ERR_G,ERR_R,EXTINCTION_U,EXTINCTION_Z,EXTINCTION_I,EXTINCTION_G,EXTINCTION_R,PMRA,PMDEC,PMRAERR,PMDECERR,CAH2,CAH3,TIO5,MATCH,DIST22,NFIT,SIGRA,SIGDEC,RV,ZETA,SP,MR,MI,MZ,D,ZGAL,UGAL,VGAL,WGAL,VTOTG,ACTIVITY,EWHA,EWHAERR,SNR,D_ERR,VTR,VTR_ERR
SDSS221027.3-004947.7,1476,52964,292,332.61376387,-0.8299125,25.874317169189453,18.20518684387207,18.83639144897461,21.27839469909668,19.788755416870117,0.8700240254402161,0.03098299913108349,0.01971600018441677,0.04589900001883507,0.02338300086557865,0.44867101311683655,0.12872600555419922,0.18155699968338013,0.330128014087677,0.23943600058555603,-4.401569843292236,2.2708499431610107,4.937970161437988,4.937970161437988,0.5271927714347839,0.7977088689804077,0.6879556179046631,1,9.243510246276855,5,156.98899841308594,365.27899169921875,-31.15959930419922,0.7123542428016663,2,9.928525924682617,9.02343463897705,8.539176940917969,839.7670288085938,-561.4815063476562,9.586474418640137,2.3073463439941406,42.72844696044922,36.89064407348633,0,0.11004800349473953,0.31024399399757385,5.508090019226074,154.9548797607422,19.74839210510254,28.08205223083496
SDSS215002.1-001300.1,1473,52908,185,327.5087622,-0.21669014,24.216474533081055,17.678287506103516,18.44914436340332,21.470556259155273,19.79265022277832,1.1088629961013794,0.022047000005841255,0.020903000608086586,0.06770700216293335,0.02074900083243847,0.7685670256614685,0.2205059975385666,0.31100499629974365,0.5655040144920349,0.41015100479125977,-37.66469955444336,-10.599200248718262,4.894070148468018,4.894070148468018,0.39241018891334534,0.633785605430603,0.47942158579826355,1,19.02429962158203,5,423.11199951171875,368.9540100097656,-4.076340198516846,0.8011397123336792,4,11.264398574829102,9.972685813903809,9.438549041748047,420.3589172363281,-248.9519805908203,77.06050109863281,1.9888828992843628,47.74696350097656,78.20127868652344,-9999,3.1115200519561768,0.5689929723739624,6.475150108337402,77.53707885742188,78.09496307373047,19.958309173583984
SDSS215603.4+005819.1,1473,52908,612,329.01396626,0.97198239,24.520160675048828,18.398813247680664,19.035287857055664,21.51361083984375,20.13945960998535,1.2639349699020386,0.032660000026226044,0.01826299913227558,0.0563029982149601,0.02708199992775917,0.27721700072288513,0.07953500002622604,0.11217799782752991,0.20397399365901947,0.14793899655342102,-9999.0,-9999.0,-9999.0,-9999.0,0.5486457347869873,0.8457401394844055,0.8159695863723755,-9999,-9999.0,-9999,-9999.0,-9999.0,-53.337398529052734,0.4721496105194092,1,9.904793739318848,8.878262519836426,8.367403984069824,1040.7470703125,-645.598876953125,-9999.0,-9999.0,-9999.0,-9999.0,-9999,1.1718800067901611,0.45754799246788025,6.988790035247803,192.15159606933594,-9999.0,-9999.0
SDSS080507.3+245509.1,1205,52670,18,121.28053539,24.91919683,23.451135635375977,18.439634323120117,18.8691349029541,21.084674835205078,19.462617874145508,0.6633870005607605,0.030540000647306442,0.016259999945759773,0.03499700129032135,0.019780000671744347,0.20121300220489502,0.057728998363018036,0.08142200112342834,0.14805099368095398,0.1073789969086647,-7.705930233001709,-9.553350448608398,4.690209865570068,4.690209865570068,0.7927839159965515,0.7630946636199951,0.946658194065094,1,21.68239974975586,5,192.19200134277344,186.07400512695312,19.483400344848633,0.1883917599916458,0,11.443681716918945,10.624917030334473,10.45888900756836,382.218017578125,186.49559020996094,-10.186174392700195,-6.577363967895508,-0.9340623617172241,29.59332275390625,1,2.2465600967407227,0.31202301383018494,16.385400772094727,70.49319458007812,22.274690628051758,12.719244956970215
SDSS094043.4+394035.2,1215,52725,498,145.18064782,39.67645092,23.173946380615234,17.695648193359375,18.34712791442871,21.53435516357422,19.530057907104492,0.4869900047779083,0.026247000321745872,0.022267000749707222,0.04941000044345856,0.019229000434279442,0.07983899861574173,0.022905999794602394,0.03230699896812439,0.05874500051140785,0.04260699823498726,-9999.0,-9999.0,-9999.0,-9999.0,0.24938498437404633,0.36893248558044434,0.765832245349884,-9999,-9999.0,-9999,-9999.0,-9999.0,89.81700134277344,0.2589808702468872,7,13.56474781036377,12.228798866271973,11.705696105957031,152.94692993164062,130.2422332763672,-9999.0,-9999.0,-9999.0,-9999.0,-9999,0.6712449789047241,0.2522389888763428,9.80154037475586,28.206403732299805,-9999.0,-9999.0
SDSS074255.7+205014.0,1203,52669,203,115.73194309,20.83720975,22.771366119384766,18.555557250976562,18.95966911315918,20.88618278503418,19.627132415771484,0.36525800824165344,0.03802900016307831,0.01864599995315075,0.03414199873805046,0.018518999218940735,0.28148600459098816,0.08076000213623047,0.11390499770641327,0.20711499452590942,0.1502169966697693,13.577500343322754,6.537280082702637,3.9082000255584717,3.9082000255584717,0.7701824903488159,0.8319643139839172,0.8543208241462708,1,11.727399826049805,6,243.4980010986328,401.4700012207031,105.08599853515625,0.5721990466117859,0,8.822035789489746,8.186617851257324,7.747952938079834,1351.9976806640625,486.93817138671875,-52.195919036865234,-3.7699191570281982,134.16824340820312,142.83189392089844,0,0.30419600009918213,0.371289998292923,5.597959995269775,249.31394958496094,96.73614501953125,39.71224594116211
SDSS115741.3+101100.3,1228,52728,345,179.42193486,10.18342501,21.201725006103516,16.3593692779541,16.83939552307129,18.88580322265625,17.354896545410156,0.1524440050125122,0.03060300089418888,0.023137999698519707,0.025019999593496323,0.012377999722957611,0.1165269985795021,0.0334319993853569,0.04715299978852272,0.08574000000953674,0.062185000628232956,-15.050600051879883,-231.8000030517578,3.0480198860168457,3.0480198860168457,0.7513684034347534,0.8723767399787903,0.9340464472770691,1,24.291400909423828,6,162.82400512695312,137.77999877929688,138.59500122070312,0.2729344666004181,0,11.036389350891113,10.248700141906738,10.0457181930542,178.3463897705078,181.33934020996094,89.32849884033203,-204.42169189453125,75.91171264648438,240.6252899169922,0,-0.05027339980006218,0.08439569920301437,35.08610153198242,32.86834716796875,196.7027130126953,36.43463134765625
SDSS080544.9+244826.7,1265,52705,402,121.43725794,24.80740626,23.831449508666992,17.486125946044922,18.181922912597656,20.89533233642578,19.14557456970215,0.7629539966583252,0.022109000012278557,0.016189999878406525,0.03525000065565109,0.017697999253869057,0.20108400285243988,0.05769199877977371,0.08137000352144241,0.1479559987783432,0.10730999708175659,-94.68160247802734,-150.625,4.32804012298584,4.32804012298584,0.43914690613746643,0.6683546900749207,0.6502023339271545,1,10.300600051879883,5,129.67300415039062,151.76800537109375,276.5669860839844,0.5903432369232178,3,11.903341293334961,10.796204566955566,10.344038963317871,267.2912902832031,135.33499145507812,-258.7770080566406,-218.7538604736328,-26.15463638305664,357.0310363769531,0,-0.12571899592876434,0.19999100267887115,6.945529937744141,49.2850456237793,225.7916259765625,42.35153579711914
SDSS081022.2+252755.0,1265,52705,582,122.59268939,25.46527355,23.398540496826172,19.657520294189453,20.154521942138672,23.881195068359375,21.310686111450195,0.6161360144615173,0.08417800068855286,0.035652998834848404,0.46316400170326233,0.057670000940561295,0.21179600059986115,0.06076600030064583,0.08570399880409241,0.1558379977941513,0.11302600055932999,-9999.0,-9999.0,-9999.0,-9999.0,0.5948585867881775,0.7796241044998169,0.8080165982246399,-9999,-9999.0,-9999,-9999.0,-9999.0,-634.177001953125,0.4758072793483734,1,16.339019775390625,14.965927124023438,14.640713691711426,93.69751739501953,58.930198669433594,-9999.0,-9999.0,-9999.0,-9999.0,-9999,2.2606799602508545,1.3833600282669067,2.845710039138794,17.438180923461914,-9999.0,-9999.0
SDSS075202.8+204037.9,1263,52708,576,118.01179019,20.6771831,22.793447494506836,16.373085021972656,16.984411239624023,19.74612045288086,18.052711486816406,0.45058000087738037,0.015247000381350517,0.011978999711573124,0.019879000261425972,0.014375999569892883,0.2595680058002472,0.07447200268507004,0.10503599792718887,0.19098800420761108,0.1385200023651123,-9999.0,-9999.0,-9999.0,-9999.0,0.4652650058269501,0.6683194637298584,0.5804439783096313,-9999,-9999.0,-9999,-9999.0,-9999.0,-36.20309829711914,0.7309428453445435,3,11.542799949645996,10.454154014587402,9.990509033203125,188.0522003173828,86.49494934082031,-9999.0,-9999.0,-9999.0,-9999.0,-9999,0.554286003112793,0.11738699674606323,16.88089942932129,34.662864685058594,-9999.0,-9999.0
